SIP_Start_Date,Fund_House,SIP_Type,Market_Cap_Category,Monthly_Investment_₹,Investment_Tenure_Years,Expected_Return_%,Total_Amount_Invested_₹,Estimated_Maturity_Value_₹,SIP_Fund_Theory
24-07-2021,HDFC Mutual Fund,International SIP,Small Cap,2000,15,8.88,360000,1289958,Rupee Cost Averaging & Compounding over long term
23-08-2021,Nippon India,ELSS SIP,Small Cap,2000,20,8.7,480000,2545060,Rupee Cost Averaging & Compounding over long term
22-09-2021,Aditya Birla Sun Life,Sectoral SIP,Small Cap,2000,16,10.53,384000,1906694,Rupee Cost Averaging & Compounding over long term
22-10-2021,Kotak Mutual Fund,Sectoral SIP,Small Cap,10000,20,12.42,2400000,24951361,Rupee Cost Averaging & Compounding over long term
21-11-2021,ICICI Prudential,Equity SIP,Large Cap,500,14,12.08,84000,414656,Rupee Cost Averaging & Compounding over long term
21-12-2021,Aditya Birla Sun Life,International SIP,Large Cap,10000,19,9.55,2280000,12906695,Rupee Cost Averaging & Compounding over long term
20-01-2022,ICICI Prudential,Debt SIP,Small Cap,1000,12,12.99,144000,623379,Rupee Cost Averaging & Compounding over long term
19-02-2022,Nippon India,Index SIP,Large Cap,10000,7,8.99,840000,1534384,Rupee Cost Averaging & Compounding over long term
21-03-2022,HDFC Mutual Fund,Small Cap SIP,Large Cap,5000,5,14.66,300000,594445,Rupee Cost Averaging & Compounding over long term
20-04-2022,ICICI Prudential,ELSS SIP,Mid Cap,500,13,11.3,78000,313583,Rupee Cost Averaging & Compounding over long term
20-05-2022,UTI Mutual Fund,Equity SIP,Mid Cap,500,14,9.42,84000,296291,Rupee Cost Averaging & Compounding over long term
19-06-2022,ICICI Prudential,Index SIP,Large Cap,1000,8,14.87,96000,291005,Rupee Cost Averaging & Compounding over long term
19-07-2022,ICICI Prudential,Sectoral SIP,Large Cap,10000,13,10.41,1560000,5653220,Rupee Cost Averaging & Compounding over long term
18-08-2022,HDFC Mutual Fund,Large Cap SIP,Mid Cap,3000,6,8.04,216000,343507,Rupee Cost Averaging & Compounding over long term
17-09-2022,Axis Mutual Fund,Sectoral SIP,Large Cap,500,13,13.05,78000,384237,Rupee Cost Averaging & Compounding over long term
17-10-2022,Kotak Mutual Fund,ELSS SIP,Small Cap,1000,9,13.21,108000,329911,Rupee Cost Averaging & Compounding over long term
16-11-2022,SBI Mutual Fund,ELSS SIP,Mid Cap,5000,5,14.55,300000,591748,Rupee Cost Averaging & Compounding over long term
16-12-2022,Axis Mutual Fund,Small Cap SIP,Small Cap,2000,19,10.84,456000,3223849,Rupee Cost Averaging & Compounding over long term
15-01-2023,Aditya Birla Sun Life,Hybrid SIP,Mid Cap,1000,3,10.36,36000,48384,Rupee Cost Averaging & Compounding over long term
14-02-2023,UTI Mutual Fund,Equity SIP,Mid Cap,3000,16,8.26,576000,2051800,Rupee Cost Averaging & Compounding over long term
16-03-2023,Nippon India,Mid Cap SIP,Mid Cap,3000,8,9.23,288000,583562,Rupee Cost Averaging & Compounding over long term
15-04-2023,HDFC Mutual Fund,ELSS SIP,Mid Cap,10000,18,9.56,2160000,11174614,Rupee Cost Averaging & Compounding over long term
15-05-2023,Kotak Mutual Fund,Sectoral SIP,Small Cap,2000,13,14.87,312000,1892254,Rupee Cost Averaging & Compounding over long term
14-06-2023,SBI Mutual Fund,Sectoral SIP,Mid Cap,5000,5,11.67,300000,520877,Rupee Cost Averaging & Compounding over long term
14-07-2023,ICICI Prudential,International SIP,Large Cap,2000,15,8.13,360000,1163055,Rupee Cost Averaging & Compounding over long term
13-08-2023,Aditya Birla Sun Life,Hybrid SIP,Mid Cap,5000,20,12.13,1200000,11851558,Rupee Cost Averaging & Compounding over long term
12-09-2023,HDFC Mutual Fund,ELSS SIP,Small Cap,2000,5,8.73,120000,182381,Rupee Cost Averaging & Compounding over long term
12-10-2023,SBI Mutual Fund,Sectoral SIP,Small Cap,500,18,14.91,108000,1317374,Rupee Cost Averaging & Compounding over long term
11-11-2023,HDFC Mutual Fund,Index SIP,Small Cap,1000,10,12.47,120000,388531,Rupee Cost Averaging & Compounding over long term
11-12-2023,UTI Mutual Fund,International SIP,Mid Cap,2000,10,13.47,240000,848884,Rupee Cost Averaging & Compounding over long term
10-01-2024,SBI Mutual Fund,Sectoral SIP,Small Cap,5000,20,13.59,1200000,15347644,Rupee Cost Averaging & Compounding over long term
09-02-2024,Aditya Birla Sun Life,Mid Cap SIP,Mid Cap,500,6,14.31,36000,80306,Rupee Cost Averaging & Compounding over long term
10-03-2024,HDFC Mutual Fund,Small Cap SIP,Large Cap,3000,18,8.36,648000,2751234,Rupee Cost Averaging & Compounding over long term
09-04-2024,HDFC Mutual Fund,ELSS SIP,Small Cap,5000,8,8.19,480000,901233,Rupee Cost Averaging & Compounding over long term
09-05-2024,Aditya Birla Sun Life,Small Cap SIP,Mid Cap,2000,3,13.42,72000,105064,Rupee Cost Averaging & Compounding over long term
08-06-2024,Nippon India,International SIP,Large Cap,1000,7,12.19,84000,187960,Rupee Cost Averaging & Compounding over long term
08-07-2024,Kotak Mutual Fund,Debt SIP,Large Cap,3000,17,8.28,612000,2367060,Rupee Cost Averaging & Compounding over long term
07-08-2024,HDFC Mutual Fund,Hybrid SIP,Large Cap,3000,5,8.98,180000,276669,Rupee Cost Averaging & Compounding over long term
06-09-2024,UTI Mutual Fund,Mid Cap SIP,Large Cap,10000,14,13.27,1680000,9609120,Rupee Cost Averaging & Compounding over long term
06-10-2024,UTI Mutual Fund,Sectoral SIP,Mid Cap,2000,7,11.6,168000,362256,Rupee Cost Averaging & Compounding over long term
05-11-2024,ICICI Prudential,Equity SIP,Small Cap,1000,5,13.76,60000,114334,Rupee Cost Averaging & Compounding over long term
05-12-2024,Nippon India,Small Cap SIP,Large Cap,10000,14,10.49,1680000,6785954,Rupee Cost Averaging & Compounding over long term
04-01-2025,Nippon India,Equity SIP,Mid Cap,10000,11,13.92,1320000,5534576,Rupee Cost Averaging & Compounding over long term
03-02-2025,SBI Mutual Fund,International SIP,Large Cap,5000,18,10.1,1080000,6103607,Rupee Cost Averaging & Compounding over long term
05-03-2025,Nippon India,Equity SIP,Large Cap,5000,11,13.73,660000,2717152,Rupee Cost Averaging & Compounding over long term
04-04-2025,Axis Mutual Fund,Debt SIP,Large Cap,500,11,8.51,66000,162039,Rupee Cost Averaging & Compounding over long term
04-05-2025,Axis Mutual Fund,Equity SIP,Mid Cap,500,10,14.13,60000,224886,Rupee Cost Averaging & Compounding over long term
03-06-2025,Nippon India,ELSS SIP,Mid Cap,3000,15,10.5,540000,2414061,Rupee Cost Averaging & Compounding over long term
03-07-2025,Axis Mutual Fund,Large Cap SIP,Mid Cap,2000,20,14.64,480000,7378923,Rupee Cost Averaging & Compounding over long term
02-08-2025,Axis Mutual Fund,International SIP,Mid Cap,2000,5,9.49,120000,188797,Rupee Cost Averaging & Compounding over long term
01-09-2025,HDFC Mutual Fund,Large Cap SIP,Mid Cap,10000,3,10.46,360000,485233,Rupee Cost Averaging & Compounding over long term
01-10-2025,SBI Mutual Fund,Index SIP,Mid Cap,10000,5,12.75,600000,1093411,Rupee Cost Averaging & Compounding over long term
31-10-2025,Axis Mutual Fund,Debt SIP,Large Cap,10000,14,14.3,1680000,10910040,Rupee Cost Averaging & Compounding over long term
30-11-2025,Kotak Mutual Fund,Hybrid SIP,Mid Cap,10000,15,12.93,1800000,11149468,Rupee Cost Averaging & Compounding over long term
30-12-2025,Aditya Birla Sun Life,International SIP,Large Cap,3000,4,8.25,144000,197756,Rupee Cost Averaging & Compounding over long term
29-01-2026,HDFC Mutual Fund,Large Cap SIP,Large Cap,1000,19,14.31,228000,2892283,Rupee Cost Averaging & Compounding over long term
28-02-2026,HDFC Mutual Fund,Mid Cap SIP,Large Cap,2000,15,11.09,360000,1743787,Rupee Cost Averaging & Compounding over long term
30-03-2026,Kotak Mutual Fund,Mid Cap SIP,Mid Cap,2000,5,9.36,120000,187717,Rupee Cost Averaging & Compounding over long term
29-04-2026,Axis Mutual Fund,Mid Cap SIP,Small Cap,10000,20,12.11,2400000,23603326,Rupee Cost Averaging & Compounding over long term
29-05-2026,SBI Mutual Fund,Small Cap SIP,Small Cap,1000,3,11.54,36000,49950,Rupee Cost Averaging & Compounding over long term
28-06-2026,HDFC Mutual Fund,Debt SIP,Mid Cap,500,20,14.75,120000,1879902,Rupee Cost Averaging & Compounding over long term
28-07-2026,HDFC Mutual Fund,Index SIP,Small Cap,1000,8,9.31,96000,195746,Rupee Cost Averaging & Compounding over long term
27-08-2026,Aditya Birla Sun Life,Debt SIP,Large Cap,2000,7,8.86,168000,304375,Rupee Cost Averaging & Compounding over long term
26-09-2026,SBI Mutual Fund,Hybrid SIP,Large Cap,3000,9,10.94,324000,824610,Rupee Cost Averaging & Compounding over long term
26-10-2026,ICICI Prudential,Equity SIP,Small Cap,3000,9,14.58,324000,1102593,Rupee Cost Averaging & Compounding over long term
25-11-2026,Axis Mutual Fund,Hybrid SIP,Small Cap,2000,4,9.47,96000,137888,Rupee Cost Averaging & Compounding over long term
25-12-2026,Axis Mutual Fund,Hybrid SIP,Small Cap,2000,8,9.26,192000,389974,Rupee Cost Averaging & Compounding over long term
24-01-2027,SBI Mutual Fund,Equity SIP,Small Cap,3000,13,14.55,468000,2735080,Rupee Cost Averaging & Compounding over long term
23-02-2027,UTI Mutual Fund,Small Cap SIP,Mid Cap,1000,7,10.03,84000,163958,Rupee Cost Averaging & Compounding over long term
25-03-2027,Kotak Mutual Fund,Debt SIP,Mid Cap,500,19,14.15,114000,1409978,Rupee Cost Averaging & Compounding over long term
24-04-2027,ICICI Prudential,Large Cap SIP,Mid Cap,2000,7,10.16,168000,330655,Rupee Cost Averaging & Compounding over long term
24-05-2027,Nippon India,Index SIP,Mid Cap,500,14,13.71,84000,507728,Rupee Cost Averaging & Compounding over long term
23-06-2027,Aditya Birla Sun Life,Equity SIP,Large Cap,2000,14,12.4,336000,1725407,Rupee Cost Averaging & Compounding over long term
23-07-2027,ICICI Prudential,Large Cap SIP,Small Cap,10000,18,12.7,2160000,18594699,Rupee Cost Averaging & Compounding over long term
22-08-2027,Nippon India,Equity SIP,Mid Cap,2000,9,12.77,216000,637135,Rupee Cost Averaging & Compounding over long term
21-09-2027,SBI Mutual Fund,Index SIP,Small Cap,2000,8,13.58,192000,531806,Rupee Cost Averaging & Compounding over long term
21-10-2027,Nippon India,Index SIP,Small Cap,500,19,11.43,114000,890972,Rupee Cost Averaging & Compounding over long term
20-11-2027,Kotak Mutual Fund,Hybrid SIP,Large Cap,2000,10,10.24,240000,636411,Rupee Cost Averaging & Compounding over long term
20-12-2027,SBI Mutual Fund,Debt SIP,Mid Cap,10000,12,14.94,1440000,7658935,Rupee Cost Averaging & Compounding over long term
19-01-2028,Aditya Birla Sun Life,Large Cap SIP,Small Cap,1000,7,10.67,84000,170796,Rupee Cost Averaging & Compounding over long term
18-02-2028,SBI Mutual Fund,Equity SIP,Mid Cap,2000,16,12.84,384000,2652100,Rupee Cost Averaging & Compounding over long term
